Empresa,Phone,Email,Logradouro,Bairro,Cidade,Estado
G MARDEGAN ME,(28) 3521-2274,gm@gmmecanica.com.br,"RUA JOSÉ CALEGÁRIO, Nº 29",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
FUNDIÇÃO MUNDIAL LTDA,(28) 3511-8979,,"Rua Euclides Bazoni, s/n",São Joaquim,Cachoeiro de Itapemirim,ES
FRIOAR COMÉRCIO E SERVIÇOS LTDA,(27) 3252-4444,,"Avenida Todos os Santos, 44",das Laranjeiras,Serra,ES
GBP MANUTENÇÃO INDUSTRIAL LTDA,(27) 3065-5190,,"RUA ANGELO PALAURO, Nº 464",TIMBUI,FUNDÃO,ES
GESSICA AZEVEDO DA SILVA,,gessica9838@gmail.com,"AV. BRASILIA, 256",PORTO CANOA,SERRA,ES
FUNDISUL INDUSTRIA METALURGICA LTDA EPP,(28) 3511-8908,fundisul-es@hotmail.com,"RUA 09, QUADRA B 8 LOTE 05 S/N",SÃO JOAQUIM,CACHOEIRO DE ITAPEMIRIM,ES
FORTNOX MONTAGEM E ELETRICA EIRELI,(19) 99625-4024,fortnox@fortnox.com.br,"RUA FRANSCICO CUTINI, 05",SANTA INES,VILA VELHA,ES
FRINHANI INDÚSTRIA E COMÉRCIO ESQUADRIAS DE ALUMINIO LTD,(27)3399-3200,,"ROD. DO SOL, 2213",ITAPARICA,VILA VELHA,ES
FORTE MAR NAVEGACAO LTDA - EPP,(27)3296-9240,,"AV. DOS EUCALIPTOS,  500",BARRA DO RIACHO,ARACRUZ,ES
FIPLAM FABRICACAO E MONTAGEM INDUSTRIAL LTDA-ME,(27) 3318-1695,,"RUA DOIS, SETOR II QUADRA III, Nº 21",Civit II,Serra,ES
FLAVIO DUARTE PASSOS ME,(27) 3109-6954,empresas@oticaolhosdaterra.com.br,"RUA RUAL SEIXAS, Nº18",ULISSES GUIMARÃES,VILA VELHA,ES
FERNANDA MONELLI ASSINI - ME,(27)3373-2327,,"R: MANTENÓPOLIS, 432",NOVO HORIZONTE,LINHARES,ES
FLUID CONTROLS DO BRASIL IND. E COM DE VÁLVULAS LTDA,(27)3398-4777,,"Rua Pedro Álvares Cabral, nº 811",Bairro de Fátima,Serra,ES
FIMAG FABRICA ITALIANA DE MÁQUINAS AGRÍCOLAS LTDA,(27)3336-9325,,ROD. BR 101 KM 04 (DESVIO SANTANA) CX. POSTAL 102,SANTANA,CARIACICA,ES
FEMB COMÉRCIO E SERVIÇOS LTDA EPP,(27) 3369-4045,,"Rua Cristovão Colombo, nº 13 - Lj.01",Cristóvão Colombo,Vila Velha,ES
FERRAMENTAS AGRÍCOLAS LP LTDA - EPP,(27) 3288-3000,,FAZENDA SÃO BENTO,ARAGUAIA,Marechal Floriano,ES
FK CONSULTORIA EIRELI,(27) 3072-6127,,"RUA ITACIBA, Nº 135",PRAIA DE ITAPARICA,VILA VELHA,ES
FABIO VASSALLO MATTOS ME,(27) 99285-4876,fmattos@fvmconsultoria.com.br,"AVENIDA ROZENDO SERAPIÃO DE SOUZA FILHO, Nº 691, SALA 02 E 03",MATA DA PRAIA,VITORIA,ES
FEGON AUTOMAÇÃO DE MÁQUINAS LTDA,(28) 3522-5863,fegon@fegon.com.br,"RUA DOUTOR AMILCAR FIGLIUZZI, Nº 272",CORONEL BORGES,CACHOEIRO DE ITAPEMIRIM,ES
FANE INDUSTRIA E COMERCIO DE PLASTICOS LTDA - EPP,(27)3341-7198,,"R: CARAVELAS, 101",MARINGA,SERRA,ES
FARLOC COMÉRCIO E SERVIÇOS LTDA,(27)3228-0600,,"RUA SÃO PEDRO, 300",JARDIM LIMOEIRO,SERRA,ES
EXTIMEC MANUTENÇÃO E SERVIÇOS INDUSTRIAIS LTDA EPP,(27) 3067-6305,,"Avenida Minas Gerais, nº 351",das Laranjeiras,Serra,ES
ETINOV EQUIPAMENTOS INDUSTRIAIS LTDA,(27) 3256-9393,,"RUA O, Nº 06 QUADRA 20",SÃO DIOGO I,SERRA,ES
ESTEL SERVICOS INDUSTRIAIS LTDA ,(27) 3256-9393,,"R ROSANGELA LOZER FERNANDES, 631",CENTRO EMPRESARIAL,ARACRUZ,ES
ESPIRAL INDÚSTRIA E COMÉRCIO LTDA,(27)3398-2100,,RUA NESTO GUISSO Nº259,BOA VISTA,SERRA,ES
ESVJ ENGENHARIA LTDA,(27) 99978-3250,,"RUA SÃO JOSÉ, 199 - SALA 14",JARDIM LIMOEIRO,SERRA,ES
ES DA SILVA COSTA PLACAS AUTOMOTIVAS ME,(28) 98809-1019,,"RUA CARLOS XAVIER, Nº 222",CENTRO,Bom Jesus do Norte,ES
ESPIRAL ANDAIMES E ESTRUTURAS TUBULARES LTDA,(27)3398 2100,,"RUA NESTOR GUISSO, 257 ÁREA D2",BOA VISTA II,SERRA,ES
ESTAMPLACAS IND. E COM. DE PLACAS E CARIMBOS LTDA,(27) 3075-6076,estamplac_es@yahoo.com.br,"Avenida Carlos Lindenberg, 1240, Loja 10/11",Aribiri,Vila Velha,ES
ESTALEIRO JURONG ARACRUZ LTDA,(27) 3270-6900,,Rodovia ES-010 - KM56,Barra do Sahy,Aracruz,ES
ESP ENGENHARIA LTDA - ME,(27) 3118-1997,contato@engenharia.esp.br,"AVENIDA JOÃO XXIII, Nº 710",BOA VISTA,SÃO MATEUS,ES
ESTEL SERVIÇOS INDUSTRIAIS LTDA,(27)3256-9393,,"AV. PRESIDENTE CASTELO BRANCO, S/N - EDIF. OPERACIONAL - BLOCO A/B/C",CENTRO EMPRESARIAL,ARACRUZ,ES
EQUIPEX SEMON TECNOLOGIA CONTRA INCÊNDIO S/A,(31)3503-1577,,"Rua Úrsula Paulino, nº 2607",Betânia,Belo Horizonte,MG
EQUINOX COMERCIO E EQUIPAMENTO LTDA,(27) 2233-4000,,"AV. NOSSA SENHORA DA PENHA, 2.796",SANTA LUIZA,VITORIA,ES
"EPS - ENGENHARIA, PROJETOS E SERVIÇOS LTDA",(61) 3035-4565,,"STSGHCV BLOCO C SALAS, 215 À 219",ZONA INDUSTRIAL,BRASÍLIA,DF
ENGELMIG ELÉTRICA LTDA,(27) 3291-1350,engelmig@engelmig.com.br,"Rua Olívia Ludgero, nº15",Rosário de Fátima,Serra,ES
ENDSERV INSPEÇÃO DE MATERIAIS E EQUIPAMENTOS LTDA,(27) 99646-6251,comercial.endserv@gmail.com,,,,
ENGENHARIA E CONSULTORIA VITÓRIA LTDA,(27) 3237-0259,,"Avenida Carlos Gomes de Sá, 335 - Sala 101",Mata da Praia,Vitória,ES
ENERVIX ENERGIAS DO ESPÍRITO SANTO LTDA,(27) 3224-4320,smart@smartgols.com.br,"RUA PROFESSOR ALMEIDA COUSIN, 125/1604",ENSEADA DO SUÁ,VITÓRIA,ES
EMTEVIP SERVIÇOS DE MANUTENÇÃO LTDA,(27)3326-7037,,"R: JAPERI, 105",COBILÂNDIA,VILA VELHA,ES
ENTRACO SERVIÇOS OFFSHORE BRASIL LTDA,(27) 3250-7374,,"ROD ES 010, S/N",ARACRUZ,BARRA DO SAHY,ES
ENGRENART USINAGEM E SERVIÇOS LTDA ME,(27) 3228-2825,,"RUA CLAUDIO COUTINHO, Nº 52",JARDIM LIMOEIRO,SERRA,
EMPLACAUTO IND. E COM. DE PLACAS E PAINEIS LTDA ME,(27) 3722-5483,,"RUA ALCINO TEIXEIRA, Nº 233 - EDF. DONA AUGUSTA - Loja 01",SÃO SILVANO,COLATINA,ES
EMPLACART INDÚSTRIA E COMÉRCIO LTDA - EPP,(28)3521-1593,,"RUA SAMUEL LEVY, Nº 509",AQUIBADAN,CACHOEIRO DE ITAPEMIRIM,ES
EMMIL CALDERARIA E MONTAGENS LTDA-ME,((2)) 3763-32,,"ROD. OTHOVARINO DUARTE SANTOS, 22",CARAPINA,SÃO MATEUS,ES
ELETROMARQUEZ LTDA,(27)3720-1337,,"RUA NICOLAU COVRE, Nº 356",CENTRO,ITARANA,ES
ELECTRON MONTAGENS INDUSTRIAIS LTDA,(27)3296-2637,,"RUA MANOEL ROCHA COUTINHO, Nº 141 TERREO",VILA RICA,ARACRUZ,ES
ELEVADORES NACIONAL DO BRASIL LTDA,(27)3322-4447,,"Avenida Maruípe, nº 859",Maruípe,Vitória,ES
ELEVADORES OTIS LTDA,(27)3205-4100,,"Rua Professora Maria Cândida da Silva, Nº 158",Goiabeiras,Vitória,ES
ELETROSOLDA LOGÍSTICA E IMPORTAÇÃO LTDA,(27)2121-5656,,"Rua São Pedro, 1001",São Geraldo,Serra,ES
DVF CONSULTORIA EIRELI,(27)3235-7338,,"Av. Nossa Senhora da Penha, nº 2796 - Ed. Impacto Empresarial Sala 1004",Santa Luíza,Vitória,ES
ELETRICA ANDRADE LTDA EPP,(27) 3722-4091,vendas1.eletricaandrade@gmail.com,"AV. SILVIO AVIDOS, Nº 2182",SÃO SILVANO,COLATINA,ES
EGS ELEVADORES LTDA EPP,(27)3323-1307,,"AV. JERÔNIMO MONTEIRO, Nº 124",CENTRO,VITÓRIA,ES
ELEALPHA ELEVADORES LTDA,(27) 3225-7447,,"Rua Vitalino dos Santos Valadares, nº 215",Santa Luíza,Vitória,ES
DRAGEAU ES LOCAÇÃO DE MÁQUINAS E EQUIP. LTDA,(27) 3013-7072,contato@ecovortex.com.br,AV. DR. OLIVIO LIRA- SHOPPING PRAIA DA COSTA BLOCO V SALA 204 TORRE LESTE,PRAIA DA COSTA,VILA VELHA,ES
DOCFINISH DO BRASIL LTDA - EPP,(27)3318-8000,,"RUA JUSCELINO KUBITSCHEK - GALPÃO C, 02",JARDIM LIMOEIRO,SERRA,ES
DISTRIFERRO PRODUTOS SIDERÚRGICOS LTDA,(27)2127-4000,,"AVENIDA OCTAVIO BORIM, Nº 1000",COBILANDIA,VILA VELHA,ES
DISTRIBUIDORA E METALURGICA BICAO EIRELI,(28) 3552-3746,,ROD ES 482.Nº130 KM33.2,CRISTAL,JERONIMO MONTEIRO,ES
DISFERRO COMÉRCIO DE FERRAGENS EIRELI,(28) 3521-3388,,COMUNIDADE MORRO GRANDE,MORRO GRANDE,CACHOEIRO DE ITAPEMIRIM,ES
DISPLAK IND. E COM. DE PLACAS LTDA,(27) 3291-3174,displak@placasnet.com,"Rodovia Governador Mário Covas, S/N",Bairro de Fátima,Serra,ES
DISK FERRO PRODUTOS METALURGICOS LTDA - ME,(27) 3296-1377,expedicao@nibferragens.com.br,"RUA ROSANGELA LOZER FERNANDES, S/N, GALPÃO IG94",CENTRO EMPRESARIAL,ARACRUZ,ES
DIAÇO DISTRIBUIDORA DE AÇO S/A,(27)2104-5500,,"RODOVIA ES 010, Nº 2656",JARDIM LIMOEIRO,SERRA,ES
DIAÇO DISTRIBUIDORA DE AÇO S/A,(27)2104-5500,,"RODOVIA ES 010, Nº 2656",JARDIM LIMOEIRO,SERRA,ES
DINÂMICA ARTEFATOS DE BORRACHAS LTDA - ME,(28)3521-9160,,"ROD. DO CONTORNO - ES, Nº 488 KM 9,5",ZONA RURAL,Cachoeiro de Itapemirim,ES
DEVANI FIOROTTI,(27) 99890-5232,devanifiorotti@hotmail.com,"R ICONHA, 65",VILA CAPIXABA,CARIACICA,ES
DIOVANIA MARIA LANNES ZAGO MEI,(27) 98831-1902,,"RUA VITALINO DOOS SANTOS VALADARES, Nº 290/801",SANTA LUIZA,VITORIA,ES
DIGILECTRON ELETRONICA S/A,(27)3066-3890,,"Rua Monte Moriá, s/n lote 1 - quadra 15",Colina de Laranjeiras,Serra,ES
DENSYX SOLUÇÕES EM OTIMIZAÇÃO DE PROCESSOS E COM EQUIP IND LTDA,(27) 35341-8551,,"RUA INÁCIO HINIGO, 185 - SALA 708",PRAIA DA COSTA,VILA VELHA,ES
,,,,,,
DEL PUPO METALMECANICA LTDA,(27) 2142-7759,,"AV. PASCHOAL DEL PUPO, Nº 1713",CONDADOS,GUARAPARI,
DARIO COUTINHO ARTELETRICA,(27) 99989-7282,eletrica.dario@hotmail.com,"RODOVIA SERAFIN DERENZE, Nº10265",JOANA D'ARC,VITORIA,ES
DEDIMA INDUSTRIA E COMERCIO LTDA ME,(28)3521-6839,,"AV. ARISTIDES CAMPOS, Nº 433",GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,ES
DELPI COMPONENTES LTDA,(27) 3265-1904,,"RUA TRAVESSA JUPARANÃ, Nº 49",SANTO ANTONIO,Rio Bananal,ES
DDG FABRICA DE EMBALAGEM EIRIELI,(27) 3219-1163,aliancacontabilme@gmail.com,RUA DO BEIJO,JARDIM ASTECA,VILA VELHA,ES
D.U INSTALACOES ELETRICAS LTDA,(27) 99887-0855,,"RUA NELCY LOPES VIEIRA, 297",JARDIM LIMOEIRO,SERRA,ES
D A P SIMAO ME,(28) 99275-3422,dapsimao@gmail.com,"AV. MONTE CASTELO, Nº 158",INDEPENDÊNCIA,CACHOEIRO DE ITAPEMIRIM,ES
DALLA SERVICOS INDUSTRIAIS LTDA,(27)3250-1526,,"RUA DAS PEROBAS, Nº140",COQUEIRAL,ARACRUZ,ES
CSV LTDA,(27)3328-6703,,"RUA DOS BEM-TE-VIS, Nº 35",MORADA DE LARANJEIRAS,SERRA,ES
CSM COMÉRCIO SERVICOS E MANUTENÇÃO LTDA - ME,(27)3326-0047,,"Avenida Iracy Corteletti, nº 216",Nova américa,Vila Velha,ES
CSE MECANICA E INSTRUMENTAÇÃO LTDA,,,"RUA 6D, 195",CIVIT,SERRA,ES
CRC EVANS PIH SERVIÇOS DE TUBULAÇÃO DO BRASIL LTDA,(27) 33612-9703,,"AVENIDA DAVINO MATOS, Nº 55 - SALA 405",CENTRO,CHÁCARA PARREIRAL,
CORPS SIDERURGIA LTDA,(27) 3348-0522,,"RUA GUSTAVO BARROSO, 123",CHÁCARA PARREIRAL,SERRA,
CONAMI MANUTENÇÃO INDUSTRIAL LTDA - ME,(27)3261-5517,,"RUA CELSO BASTOS COUTO, 388 A",PRAIA DO MORRO,GUARAPARI,ES
COMPER EQUIPAMENTOS RODOVIARIOS LTDA - ME,(27)3319-0330,,"RUA SÃO MARCOS, S/N",SANTA INÊS,VILA VELHA,ES
CONTREX SERVIÇOS LTDA,(27)3256-3033,,"RUA 7 DE SETEMBRO, S/N, GALPÃO",ITAPUTERA,ARACRUZ,ES
COMPANHIA SIDERURGICA DO ESPIRITO SANTO S.A.,(27)3246-6108,,"RUA LEOPOLDINA, Nº 900",VASCO DA GAMA,CARIACICA,ES
COMFAI METAL MECANICA LTDA - ME,(27)3256-2696,,"RUA CARAJÁS, 10",BELA VISTA,ARACRUZ,ES
COMÉRCIO DELIVERY DE SALADAS LTDA - ME,(27) 98176-0995,,"AVENIDA CARLOS LINDENBERG 801, 202",GLORIA,VILA VELHA,
CONMEC INDUSTRIAL LTDA,(27)3256-3687,,"RUA ARNOBIO PIMENTEL, Nº 160",CENTRO EMPRESARIAL,ARACRUZ,ES
COLUMBIA ENERGY SA,(27)3267-1654,,"AVENIDA DOS CRISANTEMOS, Nº 2025",SÃO JOSÉ,Fundão,ES
COFERVIL INDÚSTRIA E COMÉRCIO DE FERROS VITÓRIA LTDA,(27)2121-9393,,"RODOVIA BR 262, S/N, KM 5.5",CAMPO GRANDE,CARIACICA,ES
CNC ENGENHARIA E CONSTRUÇÕES LTDA,(27) 99772-7210,cnc@cncengenharia.eng.br,"AV. AVENIDA PRIMEIRA, 234",JARDIM MARILANDIA,VILA VELHA,ES
CLIMA VIX COMERCIO E SERVIÇOS,(27) 3089-2277,,"AV. BRASIL, 26 - PAV 02",JARDIM AMERICA,CARIACICA,
CLEMEMTE DE JESUS BRAGA ME,(28) 98111-1754,icoplacas_2017@hotmail.com,"RUA JOSÉ DONATELI, Nº 205 LOJA 01",CENTRO,SERRA,
CLAUDIO MARCIO DA SILVA ME,(28) 3517-5404,serralheriadomarcinho@hotmail.com,"RUA PEDRO RIZZO, Nº 11",PARAISO,CACHOEIRO DE ITAPEMIRIM,ES
CLAUDEMIR S. FERNANDES RETIFICA ME,(28) 3521-2818,,Avenida Francisco Mardegan,Marbrasa,Cachoeiro de Itapemirim,ES
CLARA AUTO SERVICO LTDA - EPP,(28)3521-4126,,"AV. MAURO MIRANDA MADUREIRA, S/N - CP.167",CORAMARA,CACHOEIRO DE ITAPEMIRIM,ES
CFM CALDEIRARIA FABRICACAO E MONTAGEM LTDA - ME,(28) 3524-1140,,"RODOVIA DO CONTORNO, SN, KM 2",,,
CFEES - CENTRO TÉCNICO DE FORM DE ELETRICISTAS ES,(27) 99712-7373,cfees.adm@gmail.com,"RUA AMAZONAS, Nº 19",CIDADE CONTINENTAL,SERRA,ES
CIMEF METALURGIA S/A,(28)3521-2433,,"AVENIDA FRANCISCO MARDEGAN, Nº 117",AEROPORTO,CACHOEIRO DE ITAPEMIRIM,ES
CEGELEC S/A,(27)3317-8002,,"RUA FREDERICO LAGASSA, 30, EDIF SHEILA	 - SALA 407",NOSSA SENHORA DE FÁTIMA,SERRA,ES
CHRONOS ENGENHARIA BRASIL LTDA,(27) 9968-5710,lucas@chronosbrasil.com.br,"AVENIDA CAMILO GIANORDOLI, Nº 200",MUQUILCABA,GUARAPARI,ES
CEDISA CENTRAL DE AÇO S/A,(27)2123-3233,,"RODOVIA BR 101, S/N, KM 10 - SALA B",LARANJEIRAS,SERRA,ES
CETEST ES - MANUTENÇÃO E UTILIDADES LTDA,(27)3328-1948,,"RUA BEIJA FLOR, Nº 149",NOVO HORIZONTE,SERRA,ES
CIA SIDERURGICA SANTA BARBARA,(27) 3203-2350,,"AVENIDA RIO MARINHO, S/N",BARRA DO JUCU,VILA VELHA,ES
CARLOS JOSE DA SILVA PACHECO - MEI,,carlosjosequito@gmail.com,"RUA ELIAS MAURICIO DOS SANTOS, 59 A 61",RECANTO,CACHOEIRO DE ITAPEMIRIM ITAPEMIRIM,ES
C.L.A. BRAZIL LTDA ME,(27)3064-0070,,"Rua São Pedro, nº 250",Jardim Limoeiro,Serra,ES
BVK ENGENHARIA LTDA - EPP,(27) 3063-3033,bvk@bvkengenharia.com.br,"Avenida João Francisco Gonçalves, nº 149",Cobilândia,Vila Velha,ES
C. M. G. PEREIRA SERRALHERIA - ME,(28) 3518-9160,,"Rua José Barbosa, 10",Jardim Itapemirim,Cachoeiro de Itapemirim,ES
CALF USINAGEM LTDA - EPP,(28)3522-7387,,"RUA HORACY AMARANTES MATTOS, 03",MARBRASA,CACHOEIRO DE ITAPEMIRIM,ES
CALMONTEC CALDEIRARIA SOL SERV OF E USIN CAMP LTDA,(27) 3386-0313,planejamento@calmonteccaldeiraria.com.br,"ROD. GOVERNADOR MARIO COVAS, Nº 11082",SERRA DO ARIL,CARIACICA,ES
C DEBONA MECÂNICA INDUSTRIAL ME,(28) 3524-1520,,"RUA PRINCIPAL, S/N",GIRONDA,CACHOEIRO DE ITAPEMIRIM,ES
C.M.I. CLAUDIO MECÂNICA INDUSTRIAL LTDA - ME,(28) 3522-9195,,"Rua Projetada Sete, s/n",Elpídio Volpini,Cachoeiro de Itapemirim,ES
BUZATO DISTRIBUIDORA DE FERRAGENS LTDA,(28) 3522-1015,,"Avenida Francisco Mardegan, nº 02",Boa Vista,Cachoeiro de Itapemirim,ES
BRUNO CAMATA SERPA,(27) 99761-7986,brunocamatta@hotmail.com,"RUA JUREMA, 01",ALVORADA,VILA VELHA,ES
BRUMETAL INDÚSTRIA E COMÉRCIO LTDA - EPP,(27)3257-1199,,"RUA JACOB BARBARIOLI, Nº 70",PARQUE INDUSTRIAL,IBIRAÇU,ES
BRAVA MÁQUINAS LTDA,(28) 3027-0904,adm.bravamaquinas@gmail.com,"RUA JOANA PAYER, 66",BOA VISTA,CACHOEIRO DE ITAPEMIRIM,ES
BRAGATO SERVICOS DE AR CONDICIONADO LTDA - ME,(27)3396-2358,,"RUA DONA ALBINA, 150",CRUZEIRO DO SUL,CARIACICA,ES
BRINOX METALURGICA S/A,(54) 4009-7087,,"Avenida dos Moveiros, galpão 02",CANIVETE,LINHARES,ES
BRAGONTEC COMERCIO E EQUIPAMENTOS LTDA,(27) 3064-3158,,"RUA MOACYR SANDENO BOX, 95",CENTRO,ALFREDO CHAVES,ES
BRUMAN COMERCIO E SERVICOS DE MAQUINAS E EQUIPAMENTOS LTDA  ,(27) 3328-1772,,"Rua Gustavo Barroso, nº 678",Guaraciaba,Serra,ES
BIZMAQ IND. DE IMPLEMENTOS AGROFLORESTAL LTDA-ME,(27)3763-3353,,"RUA DOS EMPRESÁRIOS, Nº 201",SERNAMBY,SÃO MATEUS,ES
BRAMETAL S/A,(27)2103-9400,,"RODOVIA BR 101, S/N - KM 163",RIO QUARTEL,LINHARES,ES
BRASIL INDUSTRIA E COM DE MAQ E EQUIP EIRELI,(28) 3521-2628,,"AVENIDA FRANCISCO MARDEGAN, Nº 42",BOA VISTA,CACHOEIRO DE ITAPEMIRIM,ES
BNG METALMECANICA LTDA,(27)3182-2899,,"AVENIDA TALMA RODRIGUES RIBEIRO, 1891",CIVIT II,SERRA,ES
BERTOLINI S/A,(27) 2101-5410,,"Rodovia BR-259, KM 51 Pavilhão B",Santa Helena,Colatina,ES
BERTOLINI S/A,(27) 2101-5500,,"Rodovia BR-259, KM 51 Pavilhão B",Santa Helena,Colatina,ES
BELMIRO BARCELOS FILHO,(27) 98865-1197,,"RUA DAS ESMERALDAS, Nº 08 QUADRA M LOTE 8",INTERLAGOS,VILA VELHA,ES
BERMONTEC MONTAGEM E MANUTENÇÃO ELÉTRICA LTDA - ME,(28)3521-4613,,"AVENIDA FRANCISCO  MARDEGAN, Nº 670",MARBRASA,CACHOEIRO DE ITAPEMIRIM,ES
BALMA SERVIÇOS TÉC ESP MANUT E MONT INDUST LTDA,(27) 3067-4077,,"RUA HUMBERTO DE CAMPOS, Nº 103",,,
BALTAZAR CONSTRUÇÕES E MONTAGENS LTDA,(27) 3763-3221,sac@bcmbaltazar.com.br,"Rodovia Othovarino Duarte Santos, S/N KM 06",Pedra D'Água,São Mateus,ES
ATIVE ENGENHARIA LTDA,(27)3228-1947,,"RUA RAIMUNDO CORREIA, 170",JARDIM LIMOEIRO,SERRA,ES
B.V METALURGICA LTDA ME,(27) 3315-0612,,"RUA PARAJU, Nº 794",MOVELAR,LINHARES,ES
ATG ENGENHARIA LTDA,(27) 99506-9415,contato@atgengenharia.com.br,"RUA MOEMA, Nº 25",DIVINO ESPÍRITO SANTO,VILA VELHA,ES
ART NOVA ESTRUTURAS METALICAS LTDA,(27)3200-7012,,"Avenida Fioravante Rossi, nº 3460",Honório Fraga,Colatina,ES
ATLANTICA AÇOS DO BRASIL S/A,(27) 2124-0500,atlanticabrasil@atlanticabrasil.com,"Rua Elias Thomas, 310",Boa Vista II,Serra,ES
ASTEN ANTICORROSÃO E SERVIÇOS LTDA,(27)3328-4068,,"Avenida dos Eucaliptos, s/n",Barra do Sahy,Aracruz,ES
ART METAL ESTRUTURAS METÁLICAS LTDA,(27)3200-7012,,"Avenida Fioravante Rossi, nº 3460",Honório Fraga,Colatina,ES
ALFAMAK MANUTENÇÃO DE EQUIPAMENTOS INDUSTRIAIS,,,"RUA ROBERTO LUIZ, 30",VASCO DA GAMA,CARIACICA,ES
ALFA CALDEIRARIA E MONTAGENS LTDA,(27) 33187-8163,alfacal@alfacal.com.br,"Rua Atalydes Moreira de Souza, 2141",Civit I,Serra,ES
ALFA ENGENHARIA E MONTAGENS INDUSTRIAIS LTDA,(37) 3241-1605,contato@alfaengenharia.ind.br,"Avenida Brigadeiro Eduardo Gomes, 501, sala 01",São Geraldo,Serra,ES
ARANDU ENGENHARIA LTDA - EPP,(27)3241-6359,,"Rua Valdir Drasto Donadia, Nº 18 Quadra 68",Novo Horizonte,Serra,ES
ARCELORMITTAL BRASIL S.A.,(27)3348-1348,,"AVENIDA BRIGADEIRO EDUARDO GOMES, Nº 930",JARDIM LIMOEIRO,SERRA,ES
ALENCAR GOLDNER - EPP,(27)3721-4079,,"RUA JOSÉLIO CÉSAR DE ANDRADE, 197",HONÓRIO FRAGA,COLATINA,ES
AGRALE S.A.,(27) 3763-1602,,"Rua Doutor Arlindo Sodré, nº 891",Centro,São Mateus,ES
AGETECH PRESTADORA DE SERVIÇOS LTDA ME,(27) 99750-1162,ageteches@gmail.com,"Rua Apóstolo Pedro, s/n",Darly Santos,Vila Velha,ES
AB SERRALHERIA LTDA-ME,(27) 99600-2975,,"RUA ANTONIO ALEXANDRE THEODORO, 385",REDENÇÃO,VITORIA,ES
AGMATEC INDUSTRIAL LTDA - ME,(27)3366-0318,,"RUA LIBRA, Nº 674",ALVORADA,VILA VELHA,ES
AÇOMEC INDUSTRIAL LTDA,(27)3328-5959,,"RUA 6 C, Nº 146",CIVIT II,SERRA,ES
ADRIANA APARECIDA DE SOUZA ME,(27) 99964-7826,aluminiositapua@hotmail.com,"Rua Doutor Jair Andrade, Nº 96",Itapuã,Vila Velha,ES
3J MINERAÇÃO LTDA - ME,(28) 3539-8023,,"ROD. ENGENHEIRO FABIANO VIVÁCQUA, S/N KM 22",Coutinho,Cachoeiro de Itapemirim,ES
2MF MONTAGEM MANUTENÇÃO E FABRICAÇÃO,(27) 99948-4943,,"AV. ABDO SAAD, 701 - SL 015",PARQUE JACARAIPE,SERRA,
AÇO DOCE COMERCIO E REPRESENTAÇÕES EIRELI-ME,(28) 3522-5128,acodocemineracao@hotmail.com,"RUA PROFESSOR PEDRO ESTELLITA HERKENHOFF, 155",RECANTO,CACHOEIRO DE ITAPEMIRIM,ES
A FABRICANTE SERVIÇOS DE TORNO E COMÉRCIO EIRELI - ME ,(28) 3521-8111,,"Avenida Mauro Miranda Madureira,nº 1178",Central Parque,Cachoeiro de Itapemirim,ES
